DATE,CASH_STATIONERY,POS_STATIONERY,CASH_COPIES,POS_COPIES,TOTAL
2024-07-01,206.75,132,797.2,216.5,1352.45
2024-07-02,907.2,160.25,1603.25,302.5,2973.2
2024-07-03,1042,42.5,3454.2,706.75,5245.45
2024-07-04,374,140,926.75,111.1,1551.85
2024-07-05,520.00,85.75,1002.50,150.25,1758.5
2024-07-06,612.35,90.5,1123.45,165.6,1991.9
2024-07-07,410.25,120.0,995.25,140.5,1666.0
2024-07-08,788.4,110.25,1256.5,190.75,2345.9
2024-07-09,350.0,75.0,870.0,130.0,1425.0
2024-07-10,695.25,98.5,1095.75,145.25,2034.75
